"Weight","TailLength","Heart","LKidney","RKidney","Spleen","Liver","FatPad"
37.27,90.7,0.12,NA,0.32,0.09,1.9,0.58
29.57,88.92,0.2,0.35,0.35,0.08,1.63,0.39
24.92,89.64,0.09,0.2,NA,NA,1.35,0.37
31.38,88.3,0.23,NA,0.33,0.08,1.79,0.9
31.33,79.77,0.15,0.35,0.35,0.1,1.68,NA
31.22,86.52,0.22,0.36,0.38,0.09,1.88,0.61
28.8,82.85,0.14,0.21,0.2,0.12,1.9,0.84
27.25,89.37,0.18,0.21,NA,0.11,1.87,0.59
20.75,86.41,0.12,0.14,0.14,0.06,1.09,0.13
36.5,87.02,0.18,0.33,0.36,NA,NA,0.72
36.17,68.27,0.18,NA,0.33,0.09,2.03,1.36
33.78,77.8,0.16,0.27,0.3,0.08,1.99,0.86
NA,61.47,0.12,0.18,0.22,0.11,1.94,1.58
35.18,76.37,0.14,NA,0.29,0.09,2.05,NA
38.33,70.07,0.19,NA,0.39,0.16,2.33,1.18
31.97,65.28,0.13,0.26,0.29,0.09,1.82,0.94
38.55,75.19,0.16,0.34,0.35,0.09,2.35,1.1
28.06,73.7,0.15,NA,0.2,0.09,1.76,NA
38.56,74.35,0.18,0.35,0.36,0.09,NA,1.52
40.63,96.04,0.2,NA,0.48,0.16,2.5,0.69
31.07,99.92,0.18,0.33,0.36,0.12,1.88,0.68
28.26,99.49,0.18,NA,0.22,0.09,1.51,0.83
30.38,101.83,0.18,0.25,0.25,0.16,2.06,0.45
24.53,88.79,0.13,NA,0.15,0.08,1.41,0.52
31.29,96.65,0.16,0.29,0.29,0.12,1.93,0.67
32.81,92.57,0.22,NA,0.39,0.12,1.81,0.33
36.28,100.58,0.17,0.37,0.36,0.11,2,NA
NA,91.22,0.12,0.17,0.18,0.1,1.32,0.38
NA,98.08,0.17,0.3,0.31,0.11,1.59,1.35
26.01,89.17,0.16,0.23,NA,0.11,NA,NA
29.48,93.36,0.19,NA,0.31,0.15,NA,0.48
27.91,94.68,0.12,NA,0.192,0.126,1.469,NA
32.53,94.62,0.16,0.2,0.27,0.12,1.72,1.16
28.02,NA,0.15,0.27,NA,0.09,1.67,0.42
28.66,91.05,NA,NA,0.222,0.148,2.03,0.615
36.34,99.05,0.2,0.35,0.35,0.13,2.3,NA
39.87,96.44,0.16,0.3,0.28,0.11,2.37,1.59
46.19,92.01,0.22,0.33,0.36,0.12,2.84,1.82
33,89.84,0.16,NA,0.26,0.14,2.46,1.34
24.65,89.59,0.159,0.213,0.211,0.077,1.73,NA
38.45,92.69,0.19,NA,0.41,0.09,NA,1.54
25.12,86.17,0.16,0.28,0.28,0.11,1.67,0.35
20.77,83.7,0.14,0.192,0.207,0.088,1.3,0.46
NA,89.36,0.13,NA,0.22,0.09,1.81,NA
25.09,86.77,0.13,0.18,0.2,0.11,1.77,0.4
25.56,86.97,0.18,0.27,0.28,0.1,1.72,0.04
28.9,83.2,0.166,0.206,0.213,0.103,1.56,NA
29.5,87.85,0.15,NA,0.19,0.12,1.6,NA
19.3,85.66,0.11,NA,0.15,0.06,NA,0.52
24.67,87.8,0.128,0.18,0.19,0.075,1.61,0.57
38.39,93.09,0.24,NA,0.42,0.11,2.42,0.93
32.72,NA,0.16,NA,NA,0.11,2.04,1.98
23.4,84.25,0.12,0.16,0.16,0.07,1.31,NA
NA,88.75,0.19,0.21,0.19,0.1,1.66,1.2
39.02,95.77,0.26,NA,0.42,0.16,2.25,NA
33.54,93.32,0.13,NA,0.35,0.09,1.86,0.97
27.77,86.86,0.15,0.19,0.2,0.11,1.46,0.45
30.99,90.94,0.17,0.21,NA,0.11,1.55,1.77
35.37,91.78,0.18,0.22,0.25,0.12,1.97,2.09
34.47,91.64,0.18,NA,0.34,0.11,1.95,1.02
29.3,84.64,0.13,0.19,0.21,0.09,1.87,0.92
NA,93.3,0.18,0.35,0.37,0.12,2.13,1
NA,87.2,0.16,0.22,0.19,0.14,1.42,NA
NA,NA,0.16,0.37,0.36,0.11,1.93,0.77
23.07,87.71,0.18,0.18,0.19,0.1,1.42,0.29
24.97,87.07,0.16,0.23,0.19,0.1,1.58,NA
34.16,86.93,0.22,0.33,0.34,0.11,1.97,NA
29.64,85.61,0.13,NA,0.28,0.07,1.74,NA
31.17,85.88,0.18,0.31,0.32,0.08,1.89,NA
33.06,93.81,0.22,NA,0.37,0.1,2.03,NA
37.23,93.08,0.25,0.33,0.32,NA,2.27,NA
30.32,93.18,0.17,NA,0.3,0.11,1.82,0.79
NA,96.02,0.19,0.35,0.35,0.11,2.02,0.73
35.26,95.92,0.2,NA,0.33,0.08,2.07,0.69
21.92,77.97,0.1,0.17,0.16,0.09,1.3,0.44
24.66,84.47,0.16,0.23,0.23,0.09,1.11,0.31
25.22,83.48,0.15,0.21,NA,0.1,1.46,0.44
39.87,97.32,0.22,0.33,0.37,0.08,2.15,1.26
27.9,85.82,NA,NA,0.18,0.07,1.55,0.74
31.17,89.88,0.18,0.31,0.34,0.09,1.48,NA
33.69,90.24,0.23,0.33,0.34,0.08,1.72,0.82
27.48,86.1,0.15,0.2,0.22,0.12,1.91,0.46
26.92,92.22,0.14,0.21,0.2,0.11,1.59,0.71
28.92,90.78,0.1,0.21,0.23,0.09,1.38,NA
NA,95.05,0.14,0.23,0.26,0.13,1.59,NA
38.92,83.95,0.12,NA,0.23,0.14,1.49,3.15
42.59,97.16,0.22,0.47,0.48,0.12,2.15,1.85
36.92,97.74,0.18,NA,0.38,0.12,1.99,0.97
NA,98.54,0.14,NA,0.32,0.11,1.77,0.91
29.17,100.66,0.17,0.22,0.19,0.12,1.66,1.04
31.4,89.96,0.14,NA,0.22,NA,1.72,1.36
25.42,81.52,0.1,NA,0.21,0.1,1.49,NA
32.87,83.81,0.19,0.4,0.39,0.1,2.24,NA
29.71,89.67,0.17,0.24,0.25,0.13,2.19,NA
28.59,80.65,0.12,0.21,0.22,0.13,1.93,0.76
24.75,85.44,0.13,NA,0.2,0.08,1.61,0.3
NA,87.96,0.16,NA,0.25,0.1,2.61,1.26
25.66,82.47,0.15,NA,0.2,0.05,NA,0.99
34.46,91.28,0.17,NA,0.39,0.14,2.27,0.71
28.91,92.69,0.16,NA,NA,0.14,2.32,0.19
30.94,99.33,0.15,NA,0.33,0.13,1.87,0.43
30.05,98.01,0.15,NA,0.39,0.11,1.72,0.64
23.76,89.67,0.17,NA,0.2,0.13,1.54,0.28
30.02,96.49,0.2,NA,0.36,0.1,NA,0.45
33.19,93.08,0.18,0.36,0.36,0.36,2.1,0.87
34.14,98.2,0.14,NA,0.33,0.09,2.11,0.73
38.53,96.59,0.2,0.35,0.37,NA,2.29,1.11
25.87,91.37,NA,NA,0.2,0.1,1.72,0.68
34.12,97.69,0.19,0.37,0.36,0.1,1.82,NA
31.95,95.59,0.2,0.36,0.4,0.09,2.11,0.37
31.73,93.52,0.19,NA,0.33,0.17,2.61,NA
35.77,93.35,0.19,0.47,0.44,0.15,1.93,0.47
23.88,86.24,0.13,NA,0.21,0.11,1.5,0.3
23.6,85.15,0.11,NA,NA,0.12,1.47,NA
27.28,90.12,0.15,NA,NA,0.1,1.39,0.73
NA,89.29,0.17,0.27,0.28,0.18,1.44,0.58
28.13,88.26,0.18,0.25,0.28,0.1,1.69,0.47
22.88,84.52,0.13,NA,0.19,NA,1.53,0.46
34.63,91.85,0.21,NA,0.33,0.08,2.02,NA
22.75,82.79,0.18,0.17,0.15,0.1,1.44,0.66
31.61,84.71,0.14,NA,0.26,0.06,1.63,0.91
27.06,88.08,0.14,NA,0.28,0.08,1.54,0.44
23.91,85.7,0.15,0.19,0.18,0.09,1.66,0.33
NA,81.45,0.12,0.18,0.19,0.12,1.17,0.29
29.31,89.68,0.15,0.23,0.25,0.11,1.67,0.8
